Individuals using the internet for ordering goods or services,,,,,,,,,,,,,,,,,,,,,,,,
% of individuals aged 16 to 74,,,,,,,,,,,,,,,,,,,,,,,,
Percentage of individuals,,,,,,,,,,,,,,,,,,,,,,,,
geo\time,2005,,2006,,2007,,2008,,2009,,2010,,2011,,2012,,2013,,2014,,2015,,2016,
EU (28 countries),:,,:,,30,,32,,36,,40,,42,,44,,47,,50,,53,,55,
EU (27 countries),24,,26,,30,,32,,37,,40,,43,,45,,47,,50,,53,,55,
Euro area (changing composition),23,,26,,31,,33,,36,,40,,42,,45,,47,,50,,53,,55,
Euro area (19 countries),:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Belgium,16,,19,,21,,21,,36,,38,,43,,45,,48,,54,,55,,57,
Bulgaria,:,,2,,3,,3,,5,,5,,7,,9,,12,,17,,18,,17,
Czech Republic,5,,13,,17,,23,,24,,27,,30,,32,,36,,43,,45,,47,
Denmark,48,,55,,56,,59,,64,,68,,70,,73,,77,,78,,79,,82,
Germany,42,,49,,52,,53,,56,,60,,64,,65,,69,,70,,73,,74,
Estonia,7,,7,,9,,10,,17,,17,,20,,23,,23,,49,(b),59,,56,
Ireland,19,,28,,33,,36,,37,,36,,43,,46,,46,,50,,51,,59,
Greece,2,,5,,8,,9,,10,,12,,18,,20,,25,,26,,32,,31,
Spain,12,,15,,18,,19,,22,,24,,27,,30,,32,,37,,42,,44,
France,:,,22,,34,,40,,44,,54,,53,,57,,59,,62,,65,,66,
Croatia,:,,:,,7,,7,,10,,14,,17,,23,,26,,28,,31,,33,
Italy,6,,9,,10,,11,,12,,15,,15,,17,,20,,22,,26,,29,
Cyprus,5,,7,,10,,9,,16,,18,,21,,21,,25,,27,,23,,29,
Latvia,5,,8,,11,,16,,19,,17,,20,,27,,32,,34,,38,,44,(b)
Lithuania,2,,4,,6,,6,,8,,11,,16,,20,,26,,26,,32,,33,
Luxembourg,39,,44,,47,,49,,58,,60,,65,,68,,70,,74,,78,,78,
Hungary,8,,7,,11,,14,,16,,18,,22,,25,,29,,33,,36,,39,
Malta,14,,14,,20,,22,,34,,38,,45,,44,,46,,47,,51,,48,
Netherlands,43,,48,,55,,56,,63,,67,,69,,65,,69,,71,,71,,74,
Austria,25,,32,,36,,37,,41,,42,,44,,48,,54,,53,,58,,58,
Poland,7,,12,,16,,18,,23,,29,,30,,30,,32,,34,,37,,42,
Portugal,6,,7,,9,,10,,13,,15,,18,,22,,25,,26,,31,,31,
Romania,:,,1,,3,,4,,2,,4,,6,,5,,8,,10,(b),11,,12,
Slovenia,:,(u),13,,16,,18,,24,,27,,31,,34,,36,,37,,39,,40,
Slovakia,9,,11,,16,,23,,28,,33,,37,,45,,44,,48,,50,,56,
Finland,38,,44,,48,,51,,54,,59,,62,,65,,65,,68,,69,,67,
Sweden,50,,55,,53,,53,,63,,66,,71,,74,,73,,75,,71,,76,(b)
United Kingdom,44,,45,,53,,57,,66,,67,,71,,73,,77,,79,,81,,83,
Iceland,44,,50,,50,,47,,44,,45,,49,,54,,56,,66,,:,,:,
Liechtenstein,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Norway,55,,61,,63,,63,,70,,71,,73,,76,,73,,77,,76,,78,
Switzerland,:,,:,,:,,:,,:,,:,,:,,:,,:,,67,,:,,:,
Montenegro,:,,:,,:,,:,,:,,:,,:,,6,,:,,:,,:,,:,
"Former Yugoslav Republic of Macedonia, the",:,,2,,:,,2,,3,,4,,:,,5,,6,,11,,11,,15,
Albania,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,,:,
Serbia,:,,:,,2,,:,,5,,:,,:,,:,,:,,:,,22,,:,
Turkey,1,,:,,2,,4,,3,,5,,:,,9,,10,,14,,15,,17,
:=not available b=break in time series u=low reliability ,,,,,,,,,,,,,,,,,,,,,,,,
:,,,,,,,,,,,,,,,,,,,,,,,,
Source of Data:,Eurostat,,,,,,,,,,,,,,,,,,,,,,,
Last update:,17.11.2017,,,,,,,,,,,,,,,,,,,,,,,
Date of extraction:,22 Nov 2017 20:32:29 CET,,,,,,,,,,,,,,,,,,,,,,,
Hyperlink to the table:,http://ec.europa.eu/eurostat/tgm/table.do?tab=table&init=1&plugin=1&language=en&pcode=tin00096,,,,,,,,,,,,,,,,,,,,,,,
General Disclaimer of the EC website:,http://ec.europa.eu/geninfo/legal_notices_en.htm,,,,,,,,,,,,,,,,,,,,,,,
Short Description:,Buy or order for private use. Within the last 12 months before the survey. Manually typed e-mails are excluded.,,,,,,,,,,,,,,,,,,,,,,,
Code:,tin00096,,,,,,,,,,,,,,,,,,,,,,,
